MODEL	<->	SRP	<->	DISCOUNT	<->	BDO/RCBC	<->	ALL BANKS	<->	NMI
26MY Mirage 1.2 GLX MT	<->	720,000.00	<->	40,000.00	<->	N/A	<->	N/A	<->	0
26MY Mirage 1.2 GLX CVT	<->	781,000.00	<->	40,000.00	<->	0	<->	28,000.00	<->	16,267.00
26MY Mirage G4 GLX 1.2G MT	<->	793,000.00	<->	61,000.00	<->	0	<->	30,000.00	<->	16,517.00
26MY Mirage G4 GLX 1.2G CVT	<->	841,000.00	<->	94,000.00	<->	0	<->	5,000.00	<->	17,517.00
26MY Mirage G4 GLS 1.2G CVT	<->	937,000.00	<->	96,000.00	<->	0	<->	17,000.00	<->	19,516.00
25MY Xpander 1.5 GLX MT	<->	1,068,000.00	<->	90,000.00	<->	22,000.00	<->	63,000.00	<->	22,245.00
25MY Xpander Cross 1.5 AT (Monotone)	<->	1,346,000.00	<->	100,000.00	<->	37,000.00	<->	88,000.00	<->	28,035.00
Xpander Cross 1.5 AT (Two-tone) (WHITE)	<->	1,371,000.00	<->	100,000.00	<->	40,000.00	<->	90,000.00	<->	28,556.00
26MY Xpander GLX 1.5G 2WD MT	<->	1,099,000.00	<->	90,000.00	<->	30,000.00	<->	85,000.00	<->	22,890.00
26MY Xpander GLX 1.5G 2WD AT	<->	1,159,000.00	<->	90,000.00	<->	35,000.00	<->	90,000.00	<->	24,140.00
26MY Xpander GLS 1.5G 2WD AT	<->	1,259,000.00	<->	100,000.00	<->	45,000.00	<->	98,000.00	<->	26,223.00
26MY Xpander GLS 1.5G 2WD AT (WHITE)	<->	1,274,000.00	<->	100,000.00	<->	79,000.00	<->	100,000.00	<->	26,535.00
26MY Xpander CROSS 1.5G 2WD AT (Twotone)	<->	1,378,000.00	<->	101,000.00	<->	57,000.00	<->	105,000.00	<->	28,701.00
26MY Xpander CROSS 1.5G 2WD AT (Twotone White)	<->	1,393,000.00	<->	101,000.00	<->	60,000.00	<->	107,000.00	<->	29,014.00
25MY XForce GLS 1.5 2WD CVT	<->	1,367,000.00	<->	240,000.00	<->	0	<->	33,000.00	<->	28,472.00
25MY XForce GLS 1.5 2WD CVT (WHITE)	<->	1,382,000.00	<->	240,000.00	<->	0	<->	35,000.00	<->	28,785.00
25MY XForce GT 1.5 2WD CVT	<->	1,581,000.00	<->	240,000.00	<->	0	<->	63,000.00	<->	32,930.00
25MY XForce GT 1.5 2WD CVT (WHITE)	<->	1,596,000.00	<->	240,000.00	<->	0	<->	64,000.00	<->	33,242.00
26MY Destinator Glx 1.5G Turbo 2WD CVT	<->	1,389,000.00	<->	100,000.00	<->	48,000.00	<->	73,000.00	<->	28,931.00
26MY Destinator Gls 1.5G Turbo 2WD CVT	<->	1,599,000.00	<->	100,000.00	<->	70,000.00	<->	96,000.00	<->	33,304.00
26MY Destinator GT 1.5G Turbo 2WD CVT - MONO	<->	1,929,000.00	<->	130,000.00	<->	75,000.00	<->	102,000.00	<->	40,178.00
26MY Destinator GT 1.5G Turbo 2WD CVT - Two-Tone	<->	1,939,000.00	<->	130,000.00	<->	76,000.00	<->	103,000.00	<->	40,386.00
25MY Montero Sport 2.4 GLX 2WD 6MT	<->	1,568,000.00	<->	275,000.00	<->	0	<->	0	<->	32,659.00
